ダウンロードした時刻：2023/10/24 09:47:57

,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
2023/2/8,9.2,8,1,11.5,8,1,6.9,8,1,65,8,1
2023/2/9,7.0,8,1,11.4,8,1,3.5,8,1,32,8,1
2023/2/10,2.6,8,1,3.7,8,1,1.4,8,1,77,8,1
2023/2/11,9.0,8,1,13.3,8,1,3.7,8,1,58,8,1
2023/2/12,11.4,8,1,16.7,8,1,6.7,8,1,63,8,1
2023/2/13,8.5,8,1,12.2,8,1,5.5,8,1,89,8,1
2023/2/14,5.6,8,1,9.9,8,1,3.7,8,1,49,8,1
2023/2/15,3.9,8,1,8.0,8,1,1.6,8,1,34,8,1
2023/2/16,3.8,8,1,8.8,8,1,-0.6,8,1,45,8,1
2023/2/17,6.3,8,1,11.6,8,1,1.7,8,1,60,8,1
2023/2/18,9.2,8,1,13.5,8,1,3.4,8,1,61,8,1
2023/2/19,14.3,8,1,17.6,8,1,10.6,8,1,69,8,1
2023/2/20,9.4,8,1,13.9,8,1,2.8,8,1,50,8,1
2023/2/21,5.0,8,1,9.0,8,1,2.8,8,1,35,8,1
2023/2/22,5.6,8,1,9.3,8,1,0.3,8,1,44,8,1
2023/2/23,9.2,8,1,14.0,8,1,5.2,8,1,62,8,1
2023/2/24,9.4,8,1,11.9,8,1,6.6,8,1,70,8,1
2023/2/25,8.1,8,1,12.5,8,1,4.8,8,1,54,8,1
2023/2/26,6.7,8,1,10.9,8,1,2.4,8,1,31,8,1
2023/2/27,8.6,8,1,13.1,8,1,4.2,8,1,43,8,1
2023/2/28,12.1,8,1,16.9,8,1,5.2,8,1,57,8,1
2023/3/1,14.4,8,1,17.5,8,1,11.2,8,1,56,8,1
2023/3/2,12.6,8,1,17.7,8,1,6.1,8,1,64,8,1
2023/3/3,8.0,8,1,11.7,8,1,3.7,8,1,48,8,1
2023/3/4,10.5,8,1,16.3,8,1,5.3,8,1,53,8,1
2023/3/5,9.7,8,1,12.9,8,1,6.7,8,1,58,8,1
2023/3/6,10.2,8,1,13.9,8,1,7.4,8,1,77,8,1
2023/3/7,11.9,8,1,16.9,8,1,6.4,8,1,68,8,1
2023/3/8,13.8,8,1,18.7,8,1,7.6,8,1,61,8,1
2023/3/9,15.4,8,1,20.1,8,1,10.2,8,1,63,8,1
2023/3/10,17.3,8,1,20.8,8,1,13.8,8,1,63,8,1
2023/3/11,14.4,8,1,20.3,8,1,10.4,8,1,51,8,1
2023/3/12,14.2,8,1,18.3,8,1,9.1,8,1,64,8,1
2023/3/13,14.3,8,1,18.8,8,1,10.1,8,1,74,8,1
2023/3/14,9.9,8,1,14.3,8,1,6.6,8,1,60,8,1
2023/3/15,12.1,8,1,17.0,8,1,7.5,8,1,62,8,1
2023/3/16,14.9,8,1,19.7,8,1,10.1,8,1,70,8,1
2023/3/17,12.9,8,1,14.6,8,1,10.4,8,1,76,8,1
2023/3/18,8.6,8,1,10.5,8,1,7.3,8,1,91,8,1
2023/3/19,9.7,8,1,15.1,8,1,5.3,8,1,53,8,1
2023/3/20,13.4,8,1,18.8,8,1,7.2,8,1,59,8,1
2023/3/21,15.4,8,1,18.1,8,1,12.6,8,1,75,8,1
2023/3/22,17.2,8,1,22.9,8,1,13.3,8,1,78,8,1
2023/3/23,17.2,8,1,21.1,8,1,13.9,8,1,96,8,1
2023/3/24,18.9,8,1,22.9,8,1,14.4,8,1,83,8,1
2023/3/25,11.4,8,1,14.4,8,1,10.5,8,1,91,8,1
2023/3/26,12.1,8,1,13.9,8,1,10.2,8,1,95,8,1
2023/3/27,13.4,8,1,17.0,8,1,10.8,8,1,59,8,1
2023/3/28,11.1,8,1,13.4,8,1,9.2,8,1,76,8,1
2023/3/29,13.0,8,1,17.9,8,1,8.7,8,1,72,8,1
2023/3/30,14.7,8,1,19.3,8,1,11.1,8,1,74,8,1
2023/3/31,15.4,8,1,18.7,8,1,12.0,8,1,78,8,1
2023/4/1,16.0,8,1,21.8,8,1,10.8,8,1,67,8,1
2023/4/2,14.3,8,1,17.9,8,1,11.1,8,1,65,8,1
2023/4/3,12.4,8,1,16.7,8,1,9.0,8,1,58,8,1
2023/4/4,13.7,8,1,19.3,8,1,8.9,8,1,55,8,1
2023/4/5,16.0,8,1,21.4,8,1,10.3,8,1,58,8,1
2023/4/6,18.5,8,1,21.1,8,1,16.2,8,1,71,8,1
2023/4/7,19.7,8,1,23.0,8,1,17.6,8,1,74,8,1
2023/4/8,16.0,8,1,21.2,8,1,10.0,8,1,65,8,1
2023/4/9,12.4,8,1,16.8,8,1,7.8,8,1,39,8,1
2023/4/10,14.9,8,1,20.1,8,1,7.8,8,1,55,8,1
2023/4/11,18.9,8,1,23.0,8,1,16.0,8,1,63,8,1
2023/4/12,19.1,8,1,22.9,8,1,14.0,8,1,70,8,1
2023/4/13,15.9,8,1,20.2,8,1,12.2,8,1,48,8,1
2023/4/14,18.7,8,1,22.4,8,1,15.3,8,1,66,8,1
2023/4/15,15.4,8,1,18.4,8,1,13.5,8,1,87,8,1
2023/4/16,17.9,8,1,23.5,8,1,13.5,8,1,78,8,1
2023/4/17,15.9,8,1,21.1,8,1,12.4,8,1,51,8,1
2023/4/18,14.9,8,1,19.8,8,1,11.5,8,1,63,8,1
2023/4/19,17.6,8,1,23.5,8,1,11.6,8,1,73,8,1
2023/4/20,20.0,8,1,24.0,8,1,16.3,8,1,77,8,1
2023/4/21,20.5,8,1,23.5,8,1,18.4,8,1,74,8,1
2023/4/22,15.2,8,1,18.4,8,1,13.8,8,1,48,8,1
2023/4/23,14.1,8,1,17.4,8,1,10.5,8,1,47,8,1
2023/4/24,13.4,8,1,16.8,8,1,12.0,8,1,42,8,1
2023/4/25,15.1,8,1,19.3,8,1,10.3,8,1,57,8,1
2023/4/26,17.0,8,1,21.1,8,1,13.8,8,1,84,8,1
2023/4/27,17.4,8,1,23.0,8,1,12.7,8,1,48,8,1
2023/4/28,18.7,8,1,22.3,8,1,15.4,8,1,69,8,1
2023/4/29,19.7,8,1,24.1,8,1,16.0,8,1,67,8,1
2023/4/30,20.5,8,1,24.0,8,1,17.0,8,1,85,8,1
2023/5/1,17.8,8,1,22.4,8,1,13.3,8,1,67,8,1
2023/5/2,17.1,8,1,22.8,8,1,12.2,8,1,50,8,1
2023/5/3,18.2,8,1,22.7,8,1,13.2,8,1,61,8,1
2023/5/4,20.0,8,1,24.2,8,1,16.7,8,1,66,8,1
2023/5/5,21.3,8,1,25.6,8,1,18.0,8,1,62,8,1
2023/5/6,22.6,8,1,26.5,8,1,20.2,8,1,66,8,1
2023/5/7,17.7,8,1,22.0,8,1,13.7,8,1,93,8,1
2023/5/8,13.2,8,1,14.9,8,1,10.7,8,1,87,8,1
2023/5/9,15.0,8,1,20.9,8,1,10.4,8,1,58,8,1
2023/5/10,17.8,8,1,24.7,8,1,11.8,8,1,60,8,1
2023/5/11,16.9,8,1,22.0,8,1,14.2,8,1,61,8,1
2023/5/12,17.1,8,1,21.8,8,1,13.5,8,1,62,8,1
2023/5/13,18.3,8,1,20.8,8,1,16.7,8,1,65,8,1
2023/5/14,18.2,8,1,21.9,8,1,15.7,8,1,70,8,1
2023/5/15,18.0,8,1,22.6,8,1,15.9,8,1,76,8,1
2023/5/16,19.8,8,1,27.4,8,1,14.5,8,1,67,8,1
2023/5/17,22.1,8,1,27.9,8,1,16.5,8,1,70,8,1
2023/5/18,24.8,8,1,32.2,8,1,19.7,8,1,60,8,1
2023/5/19,21.6,8,1,25.4,8,1,17.4,8,1,73,8,1
2023/5/20,19.2,8,1,23.2,8,1,17.6,8,1,85,8,1
2023/5/21,20.9,8,1,25.5,8,1,17.0,8,1,80,8,1
2023/5/22,22.5,8,1,29.1,8,1,15.9,8,1,76,8,1
2023/5/23,14.4,8,1,16.9,8,1,13.3,8,1,90,8,1
2023/5/24,18.3,8,1,24.7,8,1,12.9,8,1,58,8,1
2023/5/25,19.1,8,1,23.3,8,1,15.6,8,1,63,8,1
2023/5/26,20.1,8,1,23.8,8,1,16.3,8,1,66,8,1
2023/5/27,21.0,8,1,24.9,8,1,17.9,8,1,68,8,1
2023/5/28,21.7,8,1,25.8,8,1,17.6,8,1,69,8,1
2023/5/29,21.1,8,1,22.3,8,1,19.7,8,1,92,8,1
2023/5/30,21.6,8,1,25.6,8,1,19.9,8,1,85,8,1
2023/5/31,19.5,8,1,21.2,8,1,17.4,8,1,70,8,1
2023/6/1,21.3,8,1,26.6,8,1,15.4,8,1,69,8,1
2023/6/2,22.9,8,1,26.2,8,1,20.2,8,1,93,8,1
2023/6/3,20.5,8,1,25.5,8,1,17.5,8,1,83,8,1
2023/6/4,22.6,8,1,27.9,8,1,18.9,8,1,61,8,1
2023/6/5,23.2,8,1,28.8,8,1,19.6,8,1,67,8,1
2023/6/6,21.2,8,1,25.0,8,1,18.1,8,1,76,8,1
2023/6/7,22.8,8,1,28.9,8,1,18.0,8,1,70,8,1
2023/6/8,23.3,8,1,29.0,8,1,19.6,8,1,69,8,1
2023/6/9,22.0,8,1,23.7,8,1,19.3,8,1,92,8,1
2023/6/10,22.3,8,1,24.5,8,1,20.1,8,1,84,8,1
2023/6/11,21.9,8,1,25.1,8,1,20.2,8,1,89,8,1
2023/6/12,21.7,8,1,23.0,8,1,20.9,8,1,99,8,1
2023/6/13,23.5,8,1,29.3,8,1,20.2,8,1,85,8,1
2023/6/14,23.6,8,1,26.9,8,1,21.5,8,1,85,8,1
2023/6/15,22.2,8,1,25.2,8,1,20.7,8,1,91,8,1
2023/6/16,24.3,8,1,30.9,8,1,20.7,8,1,76,8,1
2023/6/17,25.3,8,1,29.5,8,1,21.0,8,1,59,8,1
2023/6/18,25.4,8,1,29.1,8,1,23.1,8,1,73,8,1
2023/6/19,23.4,8,1,27.5,8,1,20.5,8,1,69,8,1
2023/6/20,22.3,8,1,26.6,8,1,19.9,8,1,70,8,1
2023/6/21,22.5,8,1,26.3,8,1,19.5,8,1,69,8,1
2023/6/22,21.3,8,1,24.8,8,1,17.6,8,1,77,8,1
2023/6/23,21.1,8,1,25.3,8,1,17.4,8,1,87,8,1
2023/6/24,24.7,8,1,29.5,8,1,21.3,8,1,78,8,1
2023/6/25,25.2,8,1,30.7,8,1,21.1,8,1,80,8,1
2023/6/26,25.8,8,1,29.8,8,1,22.6,8,1,77,8,1
2023/6/27,25.6,8,1,28.7,8,1,23.0,8,1,83,8,1
2023/6/28,27.1,8,1,31.4,8,1,24.8,8,1,82,8,1
2023/6/29,27.7,8,1,31.2,8,1,24.7,8,1,76,8,1
2023/6/30,27.3,8,1,30.8,8,1,25.6,8,1,82,8,1
2023/7/1,25.6,8,1,27.9,8,1,24.2,8,1,91,8,1
2023/7/2,25.8,8,1,30.6,8,1,22.2,8,1,79,8,1
2023/7/3,26.7,8,1,30.6,8,1,23.8,8,1,82,8,1
2023/7/4,26.1,8,1,30.0,8,1,22.7,8,1,75,8,1
2023/7/5,25.5,8,1,30.0,8,1,22.1,8,1,78,8,1
2023/7/6,26.1,8,1,31.8,8,1,22.7,8,1,85,8,1
2023/7/7,27.8,8,1,33.3,8,1,25.0,8,1,76,8,1
2023/7/8,28.0,8,1,31.4,8,1,25.6,8,1,81,8,1
2023/7/9,28.3,8,1,30.7,8,1,26.5,8,1,82,8,1
2023/7/10,29.5,8,1,33.3,8,1,26.5,8,1,75,8,1
2023/7/11,29.4,8,1,33.2,8,1,26.3,8,1,73,8,1
2023/7/12,29.5,8,1,33.7,8,1,26.1,8,1,71,8,1
2023/7/13,27.9,8,1,29.1,8,1,27.1,8,1,75,8,1
2023/7/14,27.3,8,1,30.2,8,1,24.3,8,1,77,8,1
2023/7/15,28.6,8,1,30.5,8,1,27.0,8,1,75,8,1
2023/7/16,29.8,8,1,33.4,8,1,26.9,8,1,72,8,1
2023/7/17,31.3,8,1,35.7,8,1,26.8,8,1,63,8,1
2023/7/18,30.6,8,1,36.8,8,1,26.3,8,1,66,8,1
2023/7/19,29.2,8,1,34.4,8,1,26.0,8,1,76,8,1
2023/7/20,27.8,8,1,31.2,8,1,25.1,8,1,72,8,1
2023/7/21,26.3,8,1,30.4,8,1,24.2,8,1,77,8,1
2023/7/22,26.7,8,1,31.7,8,1,23.5,8,1,74,8,1
2023/7/23,27.0,8,1,32.9,8,1,23.4,8,1,70,8,1
2023/7/24,27.8,8,1,31.9,8,1,23.8,8,1,75,8,1
2023/7/25,29.3,8,1,35.6,8,1,24.7,8,1,70,8,1
2023/7/26,30.4,8,1,36.8,8,1,25.6,8,1,66,8,1
2023/7/27,29.5,8,1,34.4,8,1,27.1,8,1,72,8,1
2023/7/28,29.4,8,1,32.7,8,1,26.9,8,1,72,8,1
2023/7/29,29.5,8,1,33.0,8,1,26.8,8,1,70,8,1
2023/7/30,30.1,8,1,33.4,8,1,27.3,8,1,71,8,1
2023/7/31,30.4,8,1,34.8,8,1,27.8,8,1,69,8,1
2023/8/1,27.3,8,1,33.8,8,1,23.5,8,1,79,8,1
2023/8/2,29.6,8,1,35.6,8,1,25.7,8,1,71,8,1
2023/8/3,30.4,8,1,34.4,8,1,27.4,8,1,71,8,1
2023/8/4,30.6,8,1,34.6,8,1,28.0,8,1,69,8,1
2023/8/5,30.5,8,1,34.4,8,1,28.0,8,1,71,8,1
2023/8/6,29.0,8,1,34.4,8,1,26.8,8,1,79,8,1
2023/8/7,29.4,8,1,34.6,8,1,26.2,8,1,77,8,1
2023/8/8,29.5,8,1,33.7,8,1,26.7,8,1,77,8,1
2023/8/9,28.9,8,1,33.5,8,1,27.0,8,1,85,8,1
2023/8/10,29.1,8,1,33.9,8,1,26.3,8,1,76,8,1
2023/8/11,29.0,8,1,34.1,8,1,26.1,8,1,75,8,1
2023/8/12,29.1,8,1,33.7,8,1,26.5,8,1,74,8,1
2023/8/13,28.5,8,1,33.9,8,1,26.5,8,1,87,8,1
2023/8/14,29.0,8,1,32.6,8,1,26.4,8,1,86,8,1
2023/8/15,29.3,8,1,33.4,8,1,26.3,8,1,81,8,1
2023/8/16,29.4,8,1,33.9,8,1,26.6,8,1,77,8,1
2023/8/17,30.1,8,1,33.5,8,1,27.6,8,1,76,8,1
2023/8/18,29.8,8,1,33.1,8,1,27.2,8,1,78,8,1
2023/8/19,30.2,8,1,35.2,8,1,26.9,8,1,72,8,1
2023/8/20,30.3,8,1,35.1,8,1,27.4,8,1,72,8,1
2023/8/21,29.9,8,1,34.7,8,1,26.9,8,1,78,8,1
2023/8/22,29.7,8,1,34.3,8,1,27.1,8,1,81,8,1
2023/8/23,29.0,8,1,32.1,8,1,27.1,8,1,84,8,1
2023/8/24,29.5,8,1,32.8,8,1,26.8,8,1,79,8,1
2023/8/25,29.5,8,1,33.6,8,1,27.2,8,1,77,8,1
2023/8/26,29.4,8,1,33.9,8,1,26.8,8,1,74,8,1
2023/8/27,28.2,8,1,31.9,8,1,26.0,8,1,78,8,1
2023/8/28,29.6,8,1,33.7,8,1,26.8,8,1,71,8,1
2023/8/29,29.8,8,1,33.6,8,1,27.2,8,1,72,8,1
2023/8/30,29.6,8,1,33.0,8,1,26.4,8,1,77,8,1
2023/8/31,29.4,8,1,33.7,8,1,26.7,8,1,73,8,1
2023/9/1,29.5,8,1,34.7,8,1,26.3,8,1,73,8,1
2023/9/2,29.3,8,1,34.0,8,1,26.7,8,1,74,8,1
2023/9/3,28.9,8,1,33.4,8,1,25.7,8,1,75,8,1
2023/9/4,27.0,8,1,30.0,8,1,25.4,8,1,91,8,1
2023/9/5,29.7,8,1,33.8,8,1,26.7,8,1,76,8,1
2023/9/6,27.9,8,1,32.4,8,1,23.5,8,1,79,8,1
2023/9/7,26.7,8,1,29.8,8,1,24.7,8,1,75,8,1
2023/9/8,23.0,8,1,25.6,8,1,20.2,8,1,96,8,1
2023/9/9,26.2,8,1,30.7,8,1,22.4,8,1,87,8,1
2023/9/10,27.8,8,1,30.9,8,1,25.0,8,1,83,8,1
2023/9/11,28.0,8,1,30.9,8,1,25.5,8,1,81,8,1
2023/9/12,27.5,8,1,30.6,8,1,25.1,8,1,74,8,1
2023/9/13,27.8,8,1,32.0,8,1,24.2,8,1,76,8,1
2023/9/14,28.4,8,1,32.2,8,1,25.5,8,1,80,8,1
2023/9/15,29.0,8,1,33.6,8,1,27.0,8,1,79,8,1
2023/9/16,28.5,8,1,31.7,8,1,25.9,8,1,84,8,1
2023/9/17,29.1,8,1,32.8,8,1,26.4,8,1,78,8,1
2023/9/18,29.2,8,1,32.9,8,1,26.7,8,1,72,8,1
2023/9/19,29.1,8,1,32.7,8,1,26.3,8,1,74,8,1
2023/9/20,28.3,8,1,32.2,8,1,25.8,8,1,76,8,1
2023/9/21,28.0,8,1,29.7,8,1,25.3,8,1,82,8,1
2023/9/22,26.0,8,1,28.3,8,1,22.4,8,1,85,8,1
2023/9/23,22.5,8,1,24.1,8,1,21.3,8,1,87,8,1
2023/9/24,22.4,8,1,25.6,8,1,20.2,8,1,66,8,1
2023/9/25,22.4,8,1,27.5,8,1,18.2,8,1,72,8,1
2023/9/26,25.0,8,1,30.1,8,1,21.0,8,1,71,8,1
2023/9/27,25.8,8,1,29.3,8,1,23.3,8,1,78,8,1
2023/9/28,27.2,8,1,31.5,8,1,23.2,8,1,81,8,1
2023/9/29,26.7,8,1,29.5,8,1,25.2,8,1,72,8,1
2023/9/30,26.3,8,1,29.4,8,1,24.1,8,1,77,8,1
2023/10/1,26.7,8,1,30.5,8,1,23.0,8,1,80,8,1
2023/10/2,23.4,8,1,26.4,8,1,21.2,8,1,64,8,1
2023/10/3,22.9,8,1,26.4,8,1,19.0,8,1,55,8,1
2023/10/4,20.1,8,1,23.0,8,1,18.4,8,1,85,8,1
2023/10/5,21.0,8,1,25.2,8,1,18.4,8,1,71,8,1
2023/10/6,21.8,8,1,26.5,8,1,18.3,8,1,33,8,1
2023/10/7,21.0,8,1,25.4,8,1,18.2,8,1,39,8,1
2023/10/8,18.6,8,1,22.3,8,1,15.7,8,1,63,8,1
2023/10/9,16.7,8,1,18.6,8,1,14.7,8,1,96,8,1
2023/10/10,20.2,8,1,25.0,8,1,17.1,8,1,86,8,1
2023/10/11,19.8,8,1,23.6,8,1,17.1,8,1,60,8,1
2023/10/12,19.3,8,1,23.7,8,1,15.5,8,1,62,8,1
2023/10/13,18.9,8,1,23.6,8,1,14.8,8,1,50,8,1
2023/10/14,19.3,8,1,23.3,8,1,14.0,8,1,62,8,1
2023/10/15,16.7,8,1,18.9,8,1,14.9,8,1,93,8,1
2023/10/16,19.9,8,1,25.2,8,1,14.7,8,1,70,8,1
2023/10/17,20.4,8,1,25.5,8,1,16.5,8,1,63,8,1
2023/10/18,19.9,8,1,24.4,8,1,15.0,8,1,61,8,1
2023/10/19,21.4,8,1,25.0,8,1,17.3,8,1,71,8,1
2023/10/20,23.3,8,1,26.9,8,1,19.5,8,1,68,8,1
2023/10/21,19.2,8,1,22.9,8,1,13.7,8,1,59,8,1
2023/10/22,16.0,8,1,20.6,8,1,11.3,8,1,55,8,1
2023/10/23,17.3,8,1,22.0,8,1,12.3,8,1,62,8,1
